TF	Ligand(Target)	Receptor	Source
147	AR	JAG1	NOTCH2	CellTalk
148	AR	JAG1	NOTCH3	CellTalk
149	AR	LIPC	LRP1	CellTalk
150	AR	TGM2	ITGA4	CellTalk
151	AR	TGM2	ITGB1	CellTalk
152	AR	TGM2	ITGB3	CellTalk
153	AR	TGM2	SDC4	CellTalk
154	AR	TGM2	TBXA2R	CellTalk
155	AR	TGM2	ADGRG1	CellTalk
156	AR	TGM2	ITGA9	CellTalk
157	AR	COL18A1	ITGB1	CellTalk
158	AR	COL18A1	ITGB3	CellTalk
159	AR	COL18A1	GPC4	CellTalk
160	AR	COL18A1	ITGA3	CellTalk
161	AR	COL18A1	KDR	CellTalk
162	AR	COL18A1	GPC1	CellTalk
163	AR	COL18A1	ITGA5	CellTalk
164	AR	COL18A1	ITGB5	CellTalk
165	AR	LRIG1	EGFR	CellTalk
166	AR	LRIG1	MET	CellTalk
167	AR	SORBS1	ITGA1	CellTalk
168	AR	SORBS1	ITGB5	CellTalk
169	AR	SORBS1	INSR	CellTalk
170	AR	SYK	LAT	CellTalk
171	AR	SYK	FCGR2A	CellTalk
172	AR	CDH1	EGFR	CellTalk
173	AR	CDH1	LRP5	CellTalk
174	AR	CDH1	IGF1R	CellTalk
175	AR	CDH1	ITGB7	CellTalk
176	AR	CDH1	ERBB3	CellTalk
177	AR	CDH1	KLRG1	CellTalk
178	AR	CDH1	CDH2	CellTalk
179	AR	CDH1	ITGAE	CellTalk
180	AR	CDH1	PTPRM	CellTalk
181	AR	CDH1	PTPRF	CellTalk
182	AR	LAMC3	ITGA6	CellTalk
183	AR	LAMC3	ITGB1	CellTalk
184	AR	LAMC3	ITGA3	CellTalk
185	AR	LAMC3	ITGB4	CellTalk
186	AR	LAMC3	ITGA2	CellTalk
187	AR	LAMA3	ITGB1	CellTalk
188	AR	LAMA3	ITGA3	CellTalk
189	AR	LAMA3	ITGB4	CellTalk
190	AR	LAMA3	SDC2	CellTalk
191	AR	IL7	IL7R	CellTalk
192	AR	IL7	IL2RG	CellTalk
193	AR	NCAM1	CACNA1C	CellTalk
194	AR	NCAM1	GFRA1	CellTalk
195	AR	NCAM1	PTPRA	CellTalk
196	AR	NCAM1	FGFR1	CellTalk
197	AR	NCAM1	FGFR2	CellTalk
198	AR	NCAM1	ROBO1	CellTalk
199	AR	PDGFA	PDGFRA	CellTalk
200	AR	PDGFA	PDGFRB	CellTalk
201	AR	VEGFC	LYVE1	CellTalk
202	AR	VEGFC	FLT4	CellTalk
203	AR	VEGFC	KDR	CellTalk
204	AR	VEGFC	ITGA9	CellTalk
205	AR	VEGFC	FLT1	CellTalk
206	AR	VEGFC	NRP2	CellTalk
207	AR	VEGFC	ITGB1	CellTalk
208	AR	VEGFC	CCBE1	CellTalk
209	AR	IGF1	INSR	CellTalk
210	AR	IGF1	IGF2R	CellTalk
211	AR	IGF1	IGF1R	CellTalk
212	AR	COL5A2	ITGB1	CellTalk
213	AR	COL5A2	DDR1	CellTalk
214	AR	COL5A2	ITGA1	CellTalk
215	AR	EGF	EGFR	CellTalk
216	AR	EGF	LDLR	CellTalk
217	AR	EGF	FSHR	CellTalk
218	AR	EGF	ERBB3	CellTalk
219	AR	EGF	ADRB2	CellTalk
220	AR	EGF	CAV1	CellTalk
221	AR	EGF	RHBDL2	CellTalk
222	AR	EGF	ERBB2	CellTalk
223	AR	EGF	ERBB4	CellTalk
224	AR	EGF	NRP1	CellTalk
225	AR	EGF	AXL	CellTalk
226	AR	EGF	PLD2	CellTalk
227	AR	EGF	LRP2	CellTalk
228	AR	THBS1	ITGA4	CellTalk
229	AR	THBS1	CD47	CellTalk
230	AR	THBS1	SDC1	CellTalk
231	AR	THBS1	ITGB1	CellTalk
232	AR	THBS1	LRP5	CellTalk
233	AR	THBS1	ITGA2B	CellTalk
234	AR	THBS1	ITGB3	CellTalk
235	AR	THBS1	SDC4	CellTalk
236	AR	THBS1	SCARB1	CellTalk
237	AR	THBS1	ITGA6	CellTalk
238	AR	THBS1	TNFRSF11B	CellTalk
239	AR	THBS1	CD36	CellTalk
240	AR	THBS1	ITGA3	CellTalk
241	AR	THBS1	LRP1	CellTalk
242	AR	IL31RA	OSMR	CellChat
243	AR	VEGFA	ITGAV	CellTalk
244	AR	VEGFA	TYRO3	CellTalk
245	AR	VEGFA	KDR	CellTalk
246	AR	VEGFA	GPC1	CellTalk
247	AR	VEGFA	ITGA9	CellTalk
248	AR	VEGFA	NRP1	CellTalk
249	AR	VEGFA	EGFR	CellTalk
250	AR	VEGFA	FLT1	CellTalk
251	AR	VEGFA	RET	CellTalk
252	AR	VEGFA	NRP2	CellTalk
253	AR	VEGFA	EPHB2	CellTalk
254	AR	VEGFA	ITGB1	CellTalk
255	AR	VEGFA	SIRPA	CellTalk
256	AR	VEGFA	ITGB3	CellTalk
257	AR	VEGFA	GRIN2B	CellTalk
258	AR	CSF1	SIRPA	CellTalk
259	AR	CSF1	CSF1R	CellTalk
260	AR	IFNAR1	IFNAR2	CellChat
261	AR	ICOSLG	ICOS	CellTalk
262	AR	EGFR	ERBB2	CellChat
263	AR	DKK3	KREMEN1	CellTalk
264	AR	VWF	SCARA5	CellTalk
265	AR	VWF	ITGA2B	CellTalk
266	AR	VWF	ITGB3	CellTalk
267	AR	VWF	STAB2	CellTalk
268	AR	VWF	SELP	CellTalk
269	AR	VWF	SIRPA	CellTalk
270	AR	VWF	TNFRSF11B	CellTalk
271	AR	VWF	GP1BA	CellTalk
272	AR	VWF	LRP1	CellTalk
273	AR	COL9A1	ITGB1	CellTalk
274	AR	COL9A1	MAG	CellTalk
275	AR	TG	ASGR1	CellTalk
276	AR	TG	LRP2	CellTalk
277	AR	TG	TPO	CellTalk
278	AR	ITGA6	ITGB1	CellChat
279	AR	ITGA6	ITGB4	CellChat
280	AR	APP	VLDLR	CellTalk
281	AR	APP	MTNR1A	CellTalk
282	AR	APP	FPR2	CellTalk
283	AR	APP	GRM7	CellTalk
284	AR	APP	LRP10	CellTalk
285	AR	APP	PLD1	CellTalk
286	AR	APP	TSPAN15	CellTalk
287	AR	APP	DCC	CellTalk
288	AR	APP	CAV1	CellTalk
289	AR	APP	RPSA	CellTalk
290	AR	APP	TNFRSF21	CellTalk
291	AR	APP	NCSTN	CellTalk
292	AR	APP	AGER	CellTalk
293	AR	APP	CD74	CellTalk
294	AR	APP	NGFR	CellTalk
295	AR	APP	APLP1	CellTalk
296	AR	APP	TSPAN12	CellTalk
297	AR	APP	LRP1	CellTalk
298	AR	APP	PTGER2	CellTalk
299	AR	APP	NOTCH2	CellTalk
300	AR	APP	SORL1	CellTalk
301	AR	APP	LRP6	CellTalk
302	AR	APP	APLP2	CellTalk
303	AR	APP	GPC1	CellTalk
304	AR	APP	ADRA2A	CellTalk
305	AR	EREG	ERBB2	CellTalk
306	AR	EREG	EGFR	CellTalk
307	AR	EREG	ERBB4	CellTalk
308	AR	EREG	ERBB3	CellTalk
309	AR	ITGA2	ITGB1	CellChat
310	AR	SPTBN2	PTPRA	CellTalk
311	AR	FZD6	LRP5	CellChat
312	AR	FZD6	LRP6	CellChat
313	AR	FGF2	SDC1	CellTalk
314	AR	FGF2	FGFR1	CellTalk
315	AR	FGF2	FGFR2	CellTalk
316	AR	FGF2	CD44	CellTalk
317	AR	FGF2	SDC3	CellTalk
318	AR	FGF2	SDC4	CellTalk
319	AR	FGF2	GPC4	CellTalk
320	AR	FGF2	SDC2	CellTalk
321	AR	FGF2	FGFRL1	CellTalk
322	AR	FGF2	FGFR4	CellTalk
323	AR	FGF2	FGFR3	CellTalk
324	AR	FGF2	NRP1	CellTalk
325	AR	EDN3	EDNRB	CellTalk
326	AR	EDN3	KEL	CellTalk
327	AR	EDN3	EDNRA	CellTalk
328	AR	PDGFB	LRP1	CellTalk
329	AR	PDGFB	ART1	CellTalk
330	AR	PDGFB	PDGFRA	CellTalk
331	AR	PDGFB	ITGAV	CellTalk
332	AR	PDGFB	PDGFRB	CellTalk
333	AR	PDGFB	S1PR1	CellTalk
334	AR	CD58	CD2	CellTalk
335	AR	CD86	CTLA4	CellTalk
