TF	Ligand(Target)	Receptor	Source
10556	POU3F2	IAPP	ADRB2	CellTalk
10557	POU3F2	IAPP	RAMP1	CellTalk
10558	POU3F2	IAPP	ADRB3	CellTalk
10559	POU3F2	IAPP	TSHR	CellTalk
10560	POU3F2	IAPP	GPR84	CellTalk
10561	POU3F2	ADAM2	ITGB1	CellTalk
10562	POU3F2	ADAM2	CD9	CellTalk
10563	POU3F2	ADAM2	ITGA6	CellTalk
10564	POU3F2	ADAM2	ITGB7	CellTalk
10565	POU3F2	ADAM2	ITGA9	CellTalk
10566	POU3F2	NMU	ADRA2A	CellTalk
10567	POU3F2	NMU	GRM7	CellTalk
10568	POU3F2	NMU	NMUR1	CellTalk
10569	POU3F2	NMU	MTNR1A	CellTalk
10570	POU3F2	NMU	NMUR2	CellTalk
10571	POU3F2	FN1	ITGA4	CellTalk
10572	POU3F2	FN1	ITGB3	CellTalk
10573	POU3F2	FN1	C5AR1	CellTalk
10574	POU3F2	FN1	ITGA6	CellTalk
10575	POU3F2	FN1	ITGA8	CellTalk
10576	POU3F2	FN1	DPP4	CellTalk
10577	POU3F2	FN1	CD44	CellTalk
10578	POU3F2	FN1	ITGB1	CellTalk
10579	POU3F2	FN1	TMPRSS6	CellTalk
10580	POU3F2	FN1	COL13A1	CellTalk
10581	POU3F2	FN1	TSHR	CellTalk
10582	POU3F2	FN1	MAG	CellTalk
10583	POU3F2	FN1	ITGA3	CellTalk
10584	POU3F2	FN1	CD79A	CellTalk
10585	POU3F2	FN1	ITGB8	CellTalk
10586	POU3F2	FN1	NT5E	CellTalk
10587	POU3F2	FN1	ITGAV	CellTalk
10588	POU3F2	FN1	FLT4	CellTalk
10589	POU3F2	FN1	ITGA2B	CellTalk
10590	POU3F2	FN1	ITGA9	CellTalk
10591	POU3F2	FN1	ITGB7	CellTalk
10592	POU3F2	FN1	ITGB6	CellTalk
10593	POU3F2	FN1	ITGA5	CellTalk
10594	POU3F2	FN1	IL17RC	CellTalk
10595	POU3F2	FN1	ITGA2	CellTalk
10596	POU3F2	FN1	TNFRSF11B	CellTalk
10597	POU3F2	FN1	ROBO4	CellTalk
10598	POU3F2	FN1	SDC2	CellTalk
10599	POU3F2	FN1	PLAUR	CellTalk
10600	POU3F2	ITGB1	ITGA1	CellChat
10601	POU3F2	RTN4	TNFRSF19	CellTalk
10602	POU3F2	RTN4	GJB2	CellTalk
10603	POU3F2	RTN4	LINGO1	CellTalk
10604	POU3F2	RTN4	RTN4R	CellTalk
10605	POU3F2	RTN4	NGFR	CellTalk
10606	POU3F2	RTN4	CNTNAP1	CellTalk
10607	POU3F2	RTN4	RTN4RL1	CellTalk
10608	POU3F2	LMAN1	MCFD2	CellTalk
10609	POU3F2	IL6	F3	CellTalk
10610	POU3F2	IL6	IL6R	CellTalk
10611	POU3F2	IL6	IL6ST	CellTalk
10612	POU3F2	IL6	HRH1	CellTalk
10613	POU3F2	PF4	CXCR3	CellTalk
10614	POU3F2	PF4	FGFR2	CellTalk
10615	POU3F2	PF4	SDC2	CellTalk
10616	POU3F2	PF4	ACKR1	CellTalk
10617	POU3F2	PF4	GRM7	CellTalk
10618	POU3F2	PF4	LDLR	CellTalk
10619	POU3F2	PF4	THBD	CellTalk
10620	POU3F2	PF4	MTNR1A	CellTalk
10621	POU3F2	PF4	PROCR	CellTalk
10622	POU3F2	PF4	LRP1	CellTalk
10623	POU3F2	PF4	ADRA2A	CellTalk
10624	POU3F2	ANGPT1	ITGA5	CellTalk
10625	POU3F2	ANGPT1	TIE1	CellTalk
10626	POU3F2	ANGPT1	TEK	CellTalk
10627	POU3F2	ANGPT1	ITGB1	CellTalk
10628	POU3F2	ADAM10	GPNMB	CellTalk
10629	POU3F2	ADAM10	TSPAN5	CellTalk
10630	POU3F2	ADAM10	TSPAN15	CellTalk
10631	POU3F2	ADAM10	CD44	CellTalk
10632	POU3F2	ADAM10	TSPAN10	CellTalk
10633	POU3F2	ADAM10	CADM1	CellTalk
10634	POU3F2	ADAM10	TSPAN14	CellTalk
10635	POU3F2	ADAM10	NOTCH1	CellTalk
10636	POU3F2	ADAM10	IL6R	CellTalk
10637	POU3F2	ADAM10	MET	CellTalk
10638	POU3F2	ADAM10	TSPAN17	CellTalk
10639	POU3F2	ADAM10	EPHA3	CellTalk
10640	POU3F2	ADAM10	TREM2	CellTalk
10641	POU3F2	ADAM10	AXL	CellTalk
10642	POU3F2	ADAM10	NRCAM	CellTalk
10643	POU3F2	ADAM10	TSPAN12	CellTalk
10644	POU3F2	ADAM10	NOTCH2	CellTalk
10645	POU3F2	IL2	IL2RA	CellTalk
10646	POU3F2	IL2	IL2RG	CellTalk
10647	POU3F2	IL2	CD53	CellTalk
10648	POU3F2	IL2	NGFR	CellTalk
10649	POU3F2	IL2	IL2RB	CellTalk
10650	POU3F2	ALB	LRP2	CellTalk
10651	POU3F2	FGG	ITGB1	CellTalk
10652	POU3F2	FGG	ITGB3	CellTalk
10653	POU3F2	FGG	ITGB2	CellTalk
10654	POU3F2	FGG	TLR4	CellTalk
10655	POU3F2	FGG	ITGAV	CellTalk
10656	POU3F2	FGG	ITGA2B	CellTalk
10657	POU3F2	FGG	ITGA5	CellTalk
10658	POU3F2	SST	SSTR5	CellTalk
10659	POU3F2	SST	SSTR2	CellTalk
10660	POU3F2	SST	MTNR1A	CellTalk
10661	POU3F2	SST	SSTR3	CellTalk
10662	POU3F2	SST	GRM7	CellTalk
10663	POU3F2	SST	SSTR4	CellTalk
10664	POU3F2	SST	SSTR1	CellTalk
10665	POU3F2	SST	ADRA2A	CellTalk
10666	POU3F2	FGF14	FGFR2	CellTalk
10667	POU3F2	FGF14	FGFR1	CellTalk
10668	POU3F2	FGF14	FGFR4	CellTalk
10669	POU3F2	FGF14	FGFR3	CellTalk
10670	POU3F2	BMP5	BMPR2	CellTalk
10671	POU3F2	BMP5	BMPR1A	CellTalk
10672	POU3F2	BMP5	BMPR1B	CellTalk
10673	POU3F2	BMP5	HJV	CellTalk
10674	POU3F2	RIMS2	ABCA1	CellTalk
10675	POU3F2	TAC1	TACR2	CellTalk
10676	POU3F2	TAC1	TACR3	CellTalk
10677	POU3F2	TAC1	TACR1	CellTalk
10678	POU3F2	ITGA8	ITGB1	CellChat
10679	POU3F2	PTGS2	ALOX5	CellTalk
10680	POU3F2	PTGS2	PTGDR2	CellTalk
10681	POU3F2	PTGS2	CAV1	CellTalk
10682	POU3F2	IL15	IL15RA	CellTalk
10683	POU3F2	IL15	IL2RA	CellTalk
10684	POU3F2	IL15	IL2RG	CellTalk
10685	POU3F2	IL15	IL2RB	CellTalk
10686	POU3F2	KLRK1	HCST	CellChat
10687	POU3F2	IBSP	ITGB3	CellTalk
10688	POU3F2	IBSP	ITGAV	CellTalk
10689	POU3F2	COL11A1	ITGB1	CellTalk
10690	POU3F2	COL11A1	DDR1	CellTalk
10691	POU3F2	COL11A1	ITGA2	CellTalk
10692	POU3F2	IL5	CSF2RB	CellTalk
10693	POU3F2	IL5	IL5RA	CellTalk
10694	POU3F2	CER1	MRC2	CellTalk
10695	POU3F2	ADAM9	ITGA3	CellTalk
10696	POU3F2	ADAM9	ITGAV	CellTalk
10697	POU3F2	ADAM9	ITGB5	CellTalk
10698	POU3F2	ADAM9	ITGB1	CellTalk
10699	POU3F2	ADAM9	ITGA6	CellTalk
10700	POU3F2	IL7R	CRLF2	CellChat
10701	POU3F2	IL7R	IL2RG	CellChat
10702	POU3F2	MMP13	LRP1	CellTalk
10703	POU3F2	RLN1	RXFP2	CellTalk
10704	POU3F2	RLN1	RXFP1	CellTalk
10705	POU3F2	COL1A2	CD44	CellTalk
10706	POU3F2	COL1A2	ITGB1	CellTalk
10707	POU3F2	COL1A2	ITGA11	CellTalk
10708	POU3F2	COL1A2	ITGB3	CellTalk
10709	POU3F2	COL1A2	CD36	CellTalk
10710	POU3F2	COL1A2	CD93	CellTalk
10711	POU3F2	COL1A2	ITGAV	CellTalk
10712	POU3F2	COL1A2	FLT4	CellTalk
10713	POU3F2	COL1A2	ITGA2B	CellTalk
10714	POU3F2	COL1A2	ITGA1	CellTalk
10715	POU3F2	COL1A2	ITGA2	CellTalk
10716	POU3F2	GNRH1	GNRHR	CellTalk
10717	POU3F2	IRAK4	TLR4	CellTalk
10718	POU3F2	IRAK4	TLR7	CellTalk
10719	POU3F2	IRAK4	TLR6	CellTalk
10720	POU3F2	EPGN	EGFR	CellTalk
10721	POU3F2	ANGPTL1	TEK	CellTalk
10722	POU3F2	F11	GP1BA	CellTalk
10723	POU3F2	MSTN	ACVR2B	CellTalk
10724	POU3F2	NTS	SORT1	CellTalk
10725	POU3F2	NTS	NTSR1	CellTalk
10726	POU3F2	NTS	NTSR2	CellTalk
10727	POU3F2	NTS	NGFR	CellTalk
10728	POU3F2	CCL23	CCR1	CellTalk
10729	POU3F2	CCL23	ACKR2	CellTalk
10730	POU3F2	WNT8B	LRP5	CellTalk
10731	POU3F2	IFNA8	IFNAR1	CellTalk
10732	POU3F2	IFNA8	IFNAR2	CellTalk
10733	POU3F2	IFNA21	IFNAR1	CellTalk
10734	POU3F2	IFNA21	IFNAR2	CellTalk
10735	POU3F2	PDGFD	PDGFRA	CellTalk
10736	POU3F2	PDGFD	PDGFRB	CellTalk
10737	POU3F2	CLEC2B	KLRF1	CellTalk
10738	POU3F2	LUM	ITGB1	CellTalk
10739	POU3F2	UTS2	UTS2R	CellTalk
10740	POU3F2	IFNA2	IFNAR1	CellTalk
10741	POU3F2	IFNA2	IFNAR2	CellTalk
10742	POU3F2	OMG	RTN4RL1	CellTalk
10743	POU3F2	OMG	LINGO1	CellTalk
10744	POU3F2	OMG	RTN4R	CellTalk
10745	POU3F2	OMG	NGFR	CellTalk
10746	POU3F2	FGB	ITGAM	CellTalk
10747	POU3F2	FGB	ITGB1	CellTalk
10748	POU3F2	FGB	ITGB3	CellTalk
10749	POU3F2	FGB	ITGB2	CellTalk
10750	POU3F2	FGB	TLR4	CellTalk
10751	POU3F2	FGB	ITGAV	CellTalk
10752	POU3F2	FGB	ITGA2B	CellTalk
10753	POU3F2	FGB	ITGA5	CellTalk
10754	POU3F2	IFNA1	IFNAR2	CellTalk
10755	POU3F2	IFNA1	CR2	CellTalk
10756	POU3F2	IFNA1	IFNAR1	CellTalk
10757	POU3F2	S100B	ALCAM	CellTalk
10758	POU3F2	S100B	AGER	CellTalk
10759	POU3F2	NPVF	NPFFR1	CellTalk
10760	POU3F2	NPVF	NPFFR2	CellTalk
10761	POU3F2	IL18R1	IL18RAP	CellChat
10762	POU3F2	PROK1	PROKR1	CellTalk
10763	POU3F2	PROK1	PROKR2	CellTalk
10764	POU3F2	ANGPTL3	ITGB3	CellTalk
10765	POU3F2	ANGPTL3	ITGAV	CellTalk
10766	POU3F2	ANGPTL3	ITGA5	CellTalk
10767	POU3F2	TSHB	PTH1R	CellTalk
10768	POU3F2	TSHB	ADCYAP1R1	CellTalk
10769	POU3F2	TSHB	VIPR1	CellTalk
10770	POU3F2	TSHB	GPR20	CellTalk
10771	POU3F2	TSHB	ADRB2	CellTalk
10772	POU3F2	TSHB	ADRB3	CellTalk
10773	POU3F2	TSHB	TSHR	CellTalk
10774	POU3F2	TSHB	GPR84	CellTalk
10775	POU3F2	TSHB	RAMP3	CellTalk
10776	POU3F2	TSHB	RAMP2	CellTalk
10777	POU3F2	PMCH	GRM7	CellTalk
10778	POU3F2	PMCH	MCHR1	CellTalk
10779	POU3F2	PMCH	ADRA2A	CellTalk
10780	POU3F2	PMCH	MCHR2	CellTalk
10781	POU3F2	PMCH	MTNR1A	CellTalk
10782	POU3F2	IL9	IL2RG	CellTalk
10783	POU3F2	IL9	IL9R	CellTalk
10784	TP63	PRG4	CD44	CellTalk
10785	TP63	CNTN1	CNTNAP1	CellChat
10786	TP63	CP	SLC40A1	CellTalk
10787	TP63	ANGPT2	TIE1	CellTalk
10788	TP63	ANGPT2	TEK	CellTalk
10789	TP63	FASLG	TNFRSF6B	CellTalk
10790	TP63	FASLG	TNFRSF1A	CellTalk
10791	TP63	FASLG	TNFRSF10B	CellTalk
10792	TP63	FASLG	FAS	CellTalk
10793	TP63	TNFSF15	TNFRSF25	CellTalk
10794	TP63	TNFSF15	TNFRSF6B	CellTalk
10795	TP63	CCL14	CCR5	CellTalk
10796	TP63	CCL14	CCR1	CellTalk
10797	TP63	CCL14	ACKR1	CellTalk
10798	TP63	CCL14	ACKR2	CellTalk
10799	TP63	CCL14	CCR3	CellTalk
10800	TP63	AHSG	INSR	CellTalk
10801	TP63	CCL16	HRH4	CellTalk
10802	TP63	CCL16	ADRA2A	CellTalk
10803	TP63	CCL16	CCR2	CellTalk
10804	TP63	CCL16	CCR5	CellTalk
10805	TP63	CCL16	CCR1	CellTalk
10806	TP63	CCL16	MTNR1A	CellTalk
10807	TP63	CCL16	CCR8	CellTalk
10808	TP63	CCL16	GRM7	CellTalk
10809	TP63	NID1	ITGB1	CellTalk
10810	TP63	NID1	ITGB3	CellTalk
10811	TP63	NID1	COL13A1	CellTalk
10812	TP63	NID1	PTPRF	CellTalk
10813	TP63	NID1	ITGA3	CellTalk
10814	TP63	NID1	ITGAV	CellTalk
10815	TP63	IL33	IL1RL1	CellTalk
10816	TP63	PGF	NRP1	CellTalk
10817	TP63	PGF	FLT1	CellTalk
10818	TP63	PGF	NRP2	CellTalk
10819	TP63	PROC	ITGAM	CellTalk
10820	TP63	PROC	ITGB2	CellTalk
10821	TP63	PROC	THBD	CellTalk
10822	TP63	PROC	PROCR	CellTalk
10823	TP63	BTC	ERBB3	CellTalk
10824	TP63	BTC	ERBB2	CellTalk
10825	TP63	BTC	EGFR	CellTalk
10826	TP63	BTC	ERBB4	CellTalk
10827	TP63	MICA	KLRK1	CellTalk
10828	TP63	EFNB1	EPHB6	CellTalk
10829	TP63	EFNB1	EPHB4	CellTalk
10830	TP63	EFNB1	ERBB2	CellTalk
10831	TP63	EFNB1	EPHB1	CellTalk
10832	TP63	EFNB1	EPHB3	CellTalk
10833	TP63	EFNB1	EPHB2	CellTalk
10834	TP63	EFNB1	EPHA4	CellTalk
10835	TP63	EFNB1	EPHA6	CellTalk
10836	TP63	SYTL3	NRXN1	CellTalk
10837	TP63	PRND	RPSA	CellTalk
10838	TP63	CALML3	KCNQ1	CellTalk
10839	TP63	PNOC	GRM7	CellTalk
10840	TP63	PNOC	OPRL1	CellTalk
10841	TP63	PNOC	MTNR1A	CellTalk
10842	TP63	PNOC	ADRA2A	CellTalk
10843	TP63	EFNA1	EPHB6	CellTalk
10844	TP63	EFNA1	EPHA7	CellTalk
10845	TP63	EFNA1	EPHA10	CellTalk
10846	TP63	EFNA1	EPHA5	CellTalk
10847	TP63	EFNA1	EPHB1	CellTalk
10848	TP63	EFNA1	EPHA6	CellTalk
10849	TP63	EFNA1	EPHA8	CellTalk
10850	TP63	EFNA1	EPHA1	CellTalk
10851	TP63	EFNA1	EPHA4	CellTalk
10852	TP63	EFNA1	EPHA3	CellTalk
10853	TP63	EFNA1	EPHA2	CellTalk
10854	TP63	ST6GAL1	EGFR	CellTalk
10855	TP63	ST6GAL1	CD22	CellTalk
10856	TP63	SERPINA1	LRP1	CellTalk
10857	TP63	EFNA5	EPHB6	CellTalk
10858	TP63	EFNA5	EPHA7	CellTalk
10859	TP63	EFNA5	EPHA10	CellTalk
10860	TP63	EFNA5	EPHA3	CellTalk
10861	TP63	EFNA5	EPHA5	CellTalk
10862	TP63	EFNA5	EPHB1	CellTalk
10863	TP63	EFNA5	EPHB2	CellTalk
10864	TP63	EFNA5	EPHA6	CellTalk
10865	TP63	EFNA5	EPHA2	CellTalk
10866	TP63	EFNA5	EPHA8	CellTalk
10867	TP63	EFNA5	EPHA1	CellTalk
10868	TP63	EFNA5	EPHA4	CellTalk
10869	TP63	SLIT3	ROBO2	CellTalk
10870	TP63	SLIT3	ROBO1	CellTalk
10871	TP63	JAG1	CD46	CellTalk
10872	TP63	JAG1	NOTCH4	CellTalk
10873	TP63	JAG1	NOTCH1	CellTalk
10874	TP63	JAG1	NOTCH2	CellTalk
10875	TP63	JAG1	NOTCH3	CellTalk
10876	TP63	TGM2	ITGA4	CellTalk
10877	TP63	TGM2	ITGB1	CellTalk
10878	TP63	TGM2	ITGB3	CellTalk
10879	TP63	TGM2	SDC4	CellTalk
10880	TP63	TGM2	TBXA2R	CellTalk
10881	TP63	TGM2	ADGRG1	CellTalk
10882	TP63	TGM2	ITGA9	CellTalk
10883	TP63	COL18A1	ITGB1	CellTalk
10884	TP63	COL18A1	ITGB3	CellTalk
10885	TP63	COL18A1	GPC4	CellTalk
10886	TP63	COL18A1	ITGA3	CellTalk
10887	TP63	COL18A1	KDR	CellTalk
10888	TP63	COL18A1	GPC1	CellTalk
10889	TP63	COL18A1	ITGA5	CellTalk
10890	TP63	COL18A1	ITGB5	CellTalk
10891	TP63	LRIG1	EGFR	CellTalk
10892	TP63	LRIG1	MET	CellTalk
10893	TP63	SORBS1	ITGA1	CellTalk
10894	TP63	SORBS1	ITGB5	CellTalk
10895	TP63	SORBS1	INSR	CellTalk
10896	TP63	HSPG2	SDC1	CellTalk
10897	TP63	HSPG2	ITGB1	CellTalk
10898	TP63	HSPG2	COL13A1	CellTalk
10899	TP63	HSPG2	FGFR1	CellTalk
10900	TP63	HSPG2	LRP1	CellTalk
10901	TP63	HSPG2	LRP2	CellTalk
10902	TP63	HSPG2	ITGA2	CellTalk
10903	TP63	HSPG2	PTPRS	CellTalk
10904	TP63	JAG2	NOTCH4	CellTalk
10905	TP63	JAG2	NOTCH2	CellTalk
10906	TP63	JAG2	NOTCH3	CellTalk
10907	TP63	JAG2	NOTCH1	CellTalk
10908	TP63	SYK	LAT	CellTalk
10909	TP63	SYK	FCGR2A	CellTalk
10910	TP63	CDH1	EGFR	CellTalk
10911	TP63	CDH1	LRP5	CellTalk
10912	TP63	CDH1	IGF1R	CellTalk
10913	TP63	CDH1	ITGB7	CellTalk
10914	TP63	CDH1	ERBB3	CellTalk
10915	TP63	CDH1	KLRG1	CellTalk
10916	TP63	CDH1	CDH2	CellTalk
10917	TP63	CDH1	ITGAE	CellTalk
10918	TP63	CDH1	PTPRM	CellTalk
10919	TP63	CDH1	PTPRF	CellTalk
10920	TP63	ITGA9	ITGB1	CellChat
10921	TP63	LAMA3	ITGB1	CellTalk
10922	TP63	LAMA3	ITGA3	CellTalk
10923	TP63	LAMA3	ITGB4	CellTalk
10924	TP63	LAMA3	SDC2	CellTalk
10925	TP63	PDGFA	PDGFRA	CellTalk
10926	TP63	PDGFA	PDGFRB	CellTalk
10927	TP63	LAMC2	ITGA6	CellTalk
10928	TP63	LAMC2	CD151	CellTalk
10929	TP63	LAMC2	ITGB1	CellTalk
10930	TP63	LAMC2	ITGA2	CellTalk
10931	TP63	LAMC2	COL17A1	CellTalk
10932	TP63	LAMC2	ITGA3	CellTalk
10933	TP63	LAMC2	ITGB4	CellTalk
10934	TP63	VEGFC	LYVE1	CellTalk
10935	TP63	VEGFC	FLT4	CellTalk
10936	TP63	VEGFC	KDR	CellTalk
10937	TP63	VEGFC	ITGA9	CellTalk
10938	TP63	VEGFC	FLT1	CellTalk
10939	TP63	VEGFC	NRP2	CellTalk
10940	TP63	VEGFC	ITGB1	CellTalk
10941	TP63	VEGFC	CCBE1	CellTalk
10942	TP63	LAMB1	ITGA7	CellTalk
10943	TP63	LAMB1	ITGAV	CellTalk
10944	TP63	LAMB1	ITGB1	CellTalk
10945	TP63	LAMB1	ITGA6	CellTalk
10946	TP63	LAMB1	ITGA1	CellTalk
10947	TP63	LAMB1	ITGA2	CellTalk
10948	TP63	LAMB1	ITGA3	CellTalk
10949	TP63	LAMB1	ITGB4	CellTalk
10950	TP63	IGF1	INSR	CellTalk
10951	TP63	IGF1	IGF2R	CellTalk
10952	TP63	IGF1	IGF1R	CellTalk
10953	TP63	COL5A2	ITGB1	CellTalk
10954	TP63	COL5A2	DDR1	CellTalk
10955	TP63	COL5A2	ITGA1	CellTalk
10956	TP63	ITGA11	ITGB1	CellChat
10957	TP63	EFEMP1	EGFR	CellTalk
10958	TP63	THBS1	ITGA4	CellTalk
10959	TP63	THBS1	CD47	CellTalk
10960	TP63	THBS1	SDC1	CellTalk
10961	TP63	THBS1	ITGB1	CellTalk
10962	TP63	THBS1	LRP5	CellTalk
10963	TP63	THBS1	ITGA2B	CellTalk
10964	TP63	THBS1	ITGB3	CellTalk
10965	TP63	THBS1	SDC4	CellTalk
10966	TP63	THBS1	SCARB1	CellTalk
10967	TP63	THBS1	ITGA6	CellTalk
10968	TP63	THBS1	TNFRSF11B	CellTalk
10969	TP63	THBS1	CD36	CellTalk
10970	TP63	THBS1	ITGA3	CellTalk
10971	TP63	THBS1	LRP1	CellTalk
10972	TP63	S100A10	CFTR	CellTalk
10973	TP63	S100A10	TRPV6	CellTalk
10974	TP63	SERPINE1	LRP2	CellTalk
10975	TP63	SERPINE1	PLAUR	CellTalk
10976	TP63	SERPINE1	ITGAV	CellTalk
10977	TP63	SERPINE1	LRP1	CellTalk
10978	TP63	SERPINE1	ITGB5	CellTalk
10979	TP63	IL31RA	OSMR	CellChat
10980	TP63	VEGFA	ITGAV	CellTalk
10981	TP63	VEGFA	TYRO3	CellTalk
10982	TP63	VEGFA	KDR	CellTalk
10983	TP63	VEGFA	GPC1	CellTalk
10984	TP63	VEGFA	ITGA9	CellTalk
10985	TP63	VEGFA	NRP1	CellTalk
10986	TP63	VEGFA	EGFR	CellTalk
10987	TP63	VEGFA	FLT1	CellTalk
10988	TP63	VEGFA	RET	CellTalk
10989	TP63	VEGFA	NRP2	CellTalk
10990	TP63	VEGFA	EPHB2	CellTalk
10991	TP63	VEGFA	ITGB1	CellTalk
10992	TP63	VEGFA	SIRPA	CellTalk
10993	TP63	VEGFA	ITGB3	CellTalk
10994	TP63	VEGFA	GRIN2B	CellTalk
10995	TP63	CSF1	SIRPA	CellTalk
10996	TP63	CSF1	CSF1R	CellTalk
10997	TP63	PLXNA1	KDR	CellChat
10998	TP63	PLXNA1	TREM2	CellChat
10999	TP63	EGFR	ERBB2	CellChat
11000	TP63	NTN4	DCC	CellTalk
11001	TP63	NTN4	UNC5A	CellTalk
11002	TP63	FBLN2	ITGB3	CellTalk
11003	TP63	FADD	ABCA1	CellTalk
11004	TP63	FADD	FAS	CellTalk
11005	TP63	FADD	TRADD	CellTalk
11006	TP63	FADD	TRAF2	CellTalk
11007	TP63	TG	ASGR1	CellTalk
11008	TP63	TG	LRP2	CellTalk
11009	TP63	TG	TPO	CellTalk
11010	TP63	ITGA6	ITGB1	CellChat
11011	TP63	ITGA6	ITGB4	CellChat
11012	TP63	APP	VLDLR	CellTalk
11013	TP63	APP	MTNR1A	CellTalk
11014	TP63	APP	FPR2	CellTalk
11015	TP63	APP	GRM7	CellTalk
11016	TP63	APP	LRP10	CellTalk
11017	TP63	APP	PLD1	CellTalk
11018	TP63	APP	TSPAN15	CellTalk
11019	TP63	APP	DCC	CellTalk
11020	TP63	APP	CAV1	CellTalk
11021	TP63	APP	RPSA	CellTalk
11022	TP63	APP	TNFRSF21	CellTalk
11023	TP63	APP	NCSTN	CellTalk
11024	TP63	APP	AGER	CellTalk
11025	TP63	APP	CD74	CellTalk
11026	TP63	APP	NGFR	CellTalk
11027	TP63	APP	APLP1	CellTalk
11028	TP63	APP	TSPAN12	CellTalk
11029	TP63	APP	LRP1	CellTalk
11030	TP63	APP	PTGER2	CellTalk
11031	TP63	APP	NOTCH2	CellTalk
11032	TP63	APP	SORL1	CellTalk
11033	TP63	APP	LRP6	CellTalk
11034	TP63	APP	APLP2	CellTalk
11035	TP63	APP	GPC1	CellTalk
11036	TP63	APP	ADRA2A	CellTalk
11037	TP63	EREG	ERBB2	CellTalk
11038	TP63	EREG	EGFR	CellTalk
11039	TP63	EREG	ERBB4	CellTalk
11040	TP63	EREG	ERBB3	CellTalk
11041	TP63	ITGA2	ITGB1	CellChat
11042	TP63	SPTBN2	PTPRA	CellTalk
11043	TP63	FZD6	LRP5	CellChat
11044	TP63	FZD6	LRP6	CellChat
11045	TP63	TGFA	ERBB4	CellTalk
11046	TP63	TGFA	ERBB3	CellTalk
11047	TP63	TGFA	ERBB2	CellTalk
11048	TP63	TGFA	EGFR	CellTalk
11049	TP63	ADAM12	ITGB1	CellTalk
11050	TP63	ADAM12	SDC4	CellTalk
11051	TP63	ADAM12	ITGA9	CellTalk
11052	TP63	EDIL3	ITGAV	CellTalk
11053	TP63	EDIL3	ITGB5	CellTalk
11054	TP63	ITGAM	ITGB2	CellChat
11055	TP63	CD58	CD2	CellTalk
11056	TP63	CD86	CTLA4	CellTalk
11057	TP63	CD86	CD28	CellTalk
11058	TP63	TNFSF10	TNFRSF10D	CellTalk
11059	TP63	TNFSF10	RIPK1	CellTalk
11060	TP63	TNFSF10	TNFRSF10B	CellTalk
11061	TP63	TNFSF10	TNFRSF10C	CellTalk
11062	TP63	TNFSF10	TNFRSF11B	CellTalk
11063	TP63	TNFSF10	TNFRSF10A	CellTalk
11064	TP63	IL16	GRIN2B	CellTalk
11065	TP63	IL16	KCNJ4	CellTalk
11066	TP63	IL16	KCNJ15	CellTalk
11067	TP63	IL16	KCNA3	CellTalk
11068	TP63	IL16	KCNJ10	CellTalk
11069	TP63	IL16	KCND2	CellTalk
11070	TP63	IL16	GRIN2A	CellTalk
11071	TP63	IL16	CD4	CellTalk
11072	TP63	IL16	KCND1	CellTalk
11073	TP63	IL16	GRIN2D	CellTalk
11074	TP63	IL16	CCR5	CellTalk
11075	TP63	IL16	GRIN2C	CellTalk
11076	TP63	TIMP3	CD44	CellTalk
11077	TP63	TIMP3	MET	CellTalk
11078	TP63	TIMP3	AGTR2	CellTalk
11079	TP63	TIMP3	KDR	CellTalk
11080	TP63	PLAT	ITGAM	CellTalk
11081	TP63	PLAT	LRP1	CellTalk
11082	TP63	PLAT	ITGB2	CellTalk
11083	TP63	CNTN3	PTPRG	CellTalk
11084	TP63	SEMA3E	PLXND1	CellTalk
11085	TP63	SEMA3E	NRP1	CellTalk
11086	TP63	LTBP1	ITGB5	CellTalk
11087	TP63	LAMC1	ITGA6	CellTalk
11088	TP63	LAMC1	ITGA1	CellTalk
11089	TP63	LAMC1	ITGA7	CellTalk
11090	TP63	LAMC1	ITGAV	CellTalk
11091	TP63	LAMC1	ITGB1	CellTalk
11092	TP63	LAMC1	ITGA2	CellTalk
11093	TP63	LAMC1	ITGA3	CellTalk
11094	TP63	LAMC1	ITGB4	CellTalk
11095	TP63	PTPN11	FCRL4	CellTalk
11096	TP63	ICAM4	ITGAM	CellTalk
11097	TP63	ICAM4	ITGAL	CellTalk
11098	TP63	ICAM4	ITGA4	CellTalk
11099	TP63	ICAM4	ITGB3	CellTalk
11100	TP63	ICAM4	ITGB2	CellTalk
11101	TP63	ICAM4	ITGB1	CellTalk
11102	TP63	ICAM4	RHAG	CellTalk
11103	TP63	ICAM4	ITGAV	CellTalk
11104	TP63	ICAM4	ITGA2B	CellTalk
11105	TP63	TGFBR1	ACVR2A	CellChat
11106	TP63	TGFBR1	ACVR2B	CellChat
11107	TP63	TGFBR1	TGFBR2	CellChat
11108	TP63	PCSK9	VLDLR	CellTalk
11109	TP63	PCSK9	LDLR	CellTalk
11110	TP63	PCSK9	LRP1	CellTalk
11111	TP63	PCSK9	SORT1	CellTalk
11112	TP63	PCSK9	APLP2	CellTalk
11113	TP63	LEFTY2	ACVR1B	CellTalk
11114	TP63	LEFTY2	ACVR2A	CellTalk
11115	TP63	LEFTY2	ACVR2B	CellTalk
11116	TP63	FZD10	LRP5	CellChat
11117	TP63	FZD10	LRP6	CellChat
11118	TP63	ACVRL1	ACVR2A	CellChat
11119	TP63	ACVRL1	BMPR2	CellChat
11120	TP63	WNT2B	FZD4	CellTalk
